study_label,item_type,frame_tag,verbatim_quote,page,cited_work,note
Lin et al (2025),counter,,"Financial providers may also regard disclosures as opportunistic (Cao et al. 2022). In addition, companies may not disclose information because of the overwhelming signaling costs (Gupta and Das 2024). In particular, the negative impacts of disclosures may be stronger when they are voluntary (Xue et al. 2023).",pdf-3,,"attenuation: opportunistic/greenwashed disclosure, signaling costs, voluntary penalty"
Lin et al (2025),paris_policy,,"In addition, high-­emissions companies suffer the most from the resulting increase in policy uncertainty (Bolton and Kacperczyk 2021). Such higher policy uncertainty results in financial institutions charging them higher interest rates.",pdf-2,,"amplification: climate policy uncertainty hits high emitters, banks raise rates"
Lin et al (2025),key_citation,,These lower costs of bank borrowing result from firms better responding to stakeholders' concerns (Freeman and Reed 1983).,pdf-2,Freeman and Reed (1983),stakeholder anchor used to explain the paper's own COD result
Lin et al (2025),key_citation,,"Lenders consider borrowers' downward risks. Policy uncertainty results in higher deep out-­of-­the-­money put option prices (Ilhan et al. 2021), premiums for credit default swaps (Zhang and Zhao 2022), and higher loan costs (Chava 2014).",pdf-4,Chava (2014),"downside-risk/loan-cost anchor, repeatedly loaded across the hypothesis development"
Lin et al (2025),key_citation,,Ren et al. (2023) highlighted that emissions-­intensive companies experience increasing costs of debt because of the introduction of low-­carbon policies.,pdf-4,Ren et al. (2023),"low-carbon policy to cost-of-debt anchor, carried through intro, background and H2"
Lin et al (2025),status,,,,,"Empirical article, Corporate Social Responsibility and Environmental Management (Wiley); Taiwan emerging-market bank-loan study; theory confined to Sections 1-3 plus additional-test framing; no printed folios, pages cited as pdf-N."
Liu et al (2023),frame_use,SIG,"First, environmental, social, and corporate governance (ESG) information is not centralized in China, and the government-backed CECE has a strong signaling effect on lending markets.",2,,author's claim: opaque ESG environment makes state-backed rating a credible signal
Liu et al (2023),frame_use,RISK,"Drawing on reputation theory and risk perception theory, we investigate the motivations for lenders' decisions. We posit that high CECE ratings create better credit, enabling lenders to provide better offers.",2,,explicitly names risk perception theory as motivation frame for lender pricing
Liu et al (2023),frame_use,STAKE,"as social pressure to protect the environment in­ creases, good environmental performance can enhance a company's social reputation and create long-term value (Du et al., 2011).",2,,reputation/social-pressure channel; green performance builds reputation and long-term value
Liu et al (2023),frame_use,AGENCY,"In contrast, because environmental expenditures may be strongly associated with agency costs, capital markets do not value corporate environmental engagement",1,,"opposing agency-cost view: green spending seen as wasted resources, not rewarded"
Liu et al (2023),mechanism_extra,,"For this reason, lenders are more willing to offer long-term loans to environmentally friendly firms because they do not need to frequently monitor such firms by renegotiating their contracts (He and Xiong, 2012).",2,,monitoring/renegotiation-rollover channel; reduces need for short maturities
Liu et al (2023),mechanism_extra,,"For example, in 2018, the Agricultural Bank of China and Yicheng Rural Commercial Bank were sued for lending to polluting firms. Consequently, lenders compensate for higher environmental compliance risk by offering higher interest rates.",2,,"lender-liability channel: banks sued for lending to polluters, so price compliance risk"
Liu et al (2023),mechanism_extra,,"Therefore, more stringent green finance strengthens the positive debt financing consequences of the CECE as a means of government green grip.",8,,green-credit policy amplifies rating effect on debt terms; not climate-specific
Liu et al (2023),counter,,"Due to the greenwashing or actions that are merely symbolic, using selfreported environmental information for decision-making always results in endogenous selection bias (Scott and Balthrop, 2021).",3,,greenwashing/self-report noise makes voluntary env measures unreliable for lenders
Liu et al (2023),key_citation,,"Lenders applaud a good corporate environmental image because that image positively signals a firm's greater willingness to act in a socially responsible manner and emphasizes its business reputation (Du et al., 2011).",8,"Du et al., 2011",reputation-signaling anchor carrying the paper's motivation argument
Liu et al (2023),key_citation,,"Second, polluting firms are well known for the litigation risk to which they expose their lenders (Chava, 2014).",2,"Chava, 2014",litigation/environmental-risk anchor for the lender risk channel
Liu et al (2023),key_citation,,Sharfman and Fernando (2008) even find that corporate environmental risk management increases the cost of debt.,3,Sharfman and Fernando (2008),opposite-direction anchor: env risk management raises cost of debt
Liu et al (2023),status,,,,,"Pacific-Basin Finance Journal empirical study of China's government-initiated CECE environmental ratings; no hypothesis section, theory sits in intro and a short 'motivation analysis'."
Luo et al (2019),frame_use,SIG,"information asymmetry can easily lead to creditors' reverse selection. The higher the level of information asymmetry is, the higher the risk premium demanded by creditors and the higher the cost of corporate debt ﬁnancing will be.",269,,info asymmetry causes adverse selection; creditors demand higher risk premium
Luo et al (2019),frame_use,RISK,"Better corporate social responsibility helps companies establish more stable relationships with consumers, employees, and suppliers, thereby reducing their business risks and bankruptcy risks. Creditors require lower debt interest for companies with better social responsibilities.",269,,"CSR cuts business and bankruptcy risk, so creditors charge lower interest"
Luo et al (2019),frame_use,STAKE,"The high quality of disclosed environmental information will improve a company's reputation, establishing itself as a green company and signaling its proactive attitudes on shouldering environmental responsibility, which can help the company win the support of creditors.",275,,reputation/green identity channel; author's own mechanism list in conclusions
